task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
105	94/b0f6cd	621143	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-19 01:52:12.462	1h 17m 45s	59m 59s	441.2%	88.6 GB	96.2 GB	185.8 GB	183.5 GB
108	71/151bef	621146	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-19 01:53:57.474	1h 17m 35s	53m 4s	413.4%	86.5 GB	89.3 GB	133.3 GB	116.1 GB
107	f7/f229b5	621145	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-19 01:53:42.462	1h 20m 50s	1h 30s	409.7%	86.8 GB	89.4 GB	155.8 GB	137.5 GB
111	88/196134	621148	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-19 01:54:02.498	1h 24m 30s	55m 38s	425.9%	95.9 GB	97.9 GB	146.4 GB	128.1 GB
113	e3/c84dd6	621151	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:23GB)	COMPLETED	0	2022-02-19 01:54:37.491	1h 25m 15s	55m 17s	443.2%	105.1 GB	112.6 GB	153 GB	134.7 GB
109	97/fc67df	621147	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-19 01:54:02.485	1h 26m 15s	1h 1m 49s	406.1%	97.9 GB	104.9 GB	169.1 GB	166.8 GB
117	38/70be72	621166	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:25GB)	COMPLETED	0	2022-02-19 02:02:27.514	1h 18m 35s	49m 1s	443.6%	114.2 GB	121.1 GB	132.6 GB	115.3 GB
123	35/b34ca3	621182	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:7;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 02:39:22.808	42m 50s	42m 48s	536.5%	20.7 GB	23.2 GB	145.2 GB	128 GB
129	12/94219e	621190	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:7;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-19 02:43:07.773	39m 5s	39m 1s	581.3%	48 GB	53.2 GB	139.8 GB	122.5 GB
124	ff/cc6845	621185	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:7;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-19 02:40:42.806	41m 50s	41m 47s	589.4%	34.3 GB	37.4 GB	158.3 GB	140 GB
