task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	%mem	peak_rss	peak_vmem	rchar	wchar
362	be/b42bfe	638645	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-25 13:22:07.452	49m	48m 57s	465.8%	72.5 GB	14.4%	73.4 GB	77.9 GB	137.5 GB	120.3 GB
376	5a/cdadb4	638665	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-25 13:42:37.540	31m 45s	31m 42s	541.3%	64.9 GB	12.9%	65.3 GB	66.2 GB	189.9 GB	198.4 GB
367	9b/be27c6	638652	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-25 13:28:17.533	46m 10s	46m 6s	544.3%	99 GB	19.7%	99 GB	106.1 GB	170.1 GB	167.8 GB
377	fd/94de5a	638674	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-25 13:50:17.608	26m 15s	26m 12s	549.5%	63.8 GB	12.7%	64.1 GB	66 GB	147.7 GB	144.1 GB
379	f9/db61b9	638667	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-25 13:45:57.552	32m 35s	32m 31s	362.1%	97.6 GB	19.4%	99 GB	106 GB	163.2 GB	161 GB
364	c5/49fd80	638655	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-25 13:32:57.675	46m 15s	46m 10s	484.2%	83.6 GB	16.6%	85.7 GB	88.6 GB	132.6 GB	115.3 GB
375	03/b3845c	638666	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-25 13:43:22.511	38m 55s	38m 54s	313.1%	87.1 GB	17.3%	87.4 GB	95.2 GB	176.4 GB	174.2 GB
381	ec/dd1873	638676	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-25 13:50:52.539	33m 25s	33m 23s	515.2%	76.1 GB	15.1%	76.5 GB	82.5 GB	189.9 GB	198.4 GB
371	1a/befb34	638662	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-25 13:37:47.484	46m 55s	46m 54s	548.8%	110.5 GB	22.0%	110.7 GB	116.9 GB	179.7 GB	177.3 GB
380	4c/b8571c	638683	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-25 13:56:57.588	30m 5s	30m 3s	346.0%	97.1 GB	19.3%	97.1 GB	105.1 GB	131.6 GB	114.7 GB
382	d7/0aadc3	638669	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-25 13:46:12.519	40m 55s	40m 53s	530.1%	105 GB	20.9%	107.3 GB	114.7 GB	129.5 GB	112.3 GB
384	3d/0131a1	638670	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-25 13:46:17.504	40m 50s	40m 49s	540.4%	113.2 GB	22.5%	117.6 GB	125.1 GB	135.5 GB	118.3 GB
386	33/42088d	638672	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:7;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-25 13:47:52.532	39m 30s	39m 29s	581.8%	6.7 GB	1.3%	6.9 GB	9.4 GB	147 GB	129.7 GB
389	fb/444b07	638684	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-25 13:58:02.599	29m 55s	29m 52s	339.0%	107.3 GB	21.3%	108.6 GB	115.7 GB	122 GB	105.1 GB
383	e1/a2ad7d	638682	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-25 13:56:52.566	31m 45s	31m 40s	384.8%	110.7 GB	22.0%	110.7 GB	116.9 GB	172 GB	169.7 GB
387	85/0c0297	638678	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:7;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-25 13:51:57.565	37m 25s	37m 22s	616.0%	20.6 GB	4.1%	20.7 GB	23.1 GB	145.2 GB	128 GB
